Name,Picture,Interior,Rental Price,Model ,Fuel Type,Engine Condition,Colour,Navigation System (GPS),Air Conditioning,Safety Features,Rear-view Camera or Parking Sensors,Mileage Limits,Transmission Type,Seating Capacity
Audi,pictures/Audi.jpg,pictures/Audiinterior.jpg,60000,Audi RS5,Petrol (Gasoline),Powerful 2.9L twin-turbo V6 engine,Grey,Equipped,Dual-zone automatic air conditioning system,"Airbags, ABS, Traction control, Lane assist",Equipped,"200,000 miles",8-speed automatic transmission,4 persons
BMW,pictures/BMW.jpg,pictures/BMWinterior.jpg,400000,BMW M8 Competition Couple,Petrol (Gasoline),"4.4L twin-turbo V8 engine, producing 617 hp",Black,Equipped,Dual-zone automatic climate control system,"Lane departure warning, Blind-spot monitoring",Equipped,"200,000 miles",8-speed automatic transmission,5 persons
Civic,pictures/Civic.jpg,pictures/Civicinterior.jpg,13000,10th-generation Honda Civic,Petrol (Gasoline),1.8L i-VTEC engine,White,Equipped,Automatic air conditioning,Airbags and ABS,Equipped,28-33 miles,CVT Automatic Transmission,5 persons
Elantra,pictures/elantra.jpg,pictures/Elantrainterior.jpg,25000,Hyundai Elantra SEL,Petrol (Gasoline),2.0L MPI Atkinson Cycle engine producing 147 hp,Grey,Equipped,Automatic climate control,"Forward-collision avoidance, Blind-spot monitoring",Equipped,100 to 150 miles,CVT Automatic Transmission,5 persons
Fortuner,pictures/Fortuner.jpg,pictures/Fortunerinterior.jpg,16000,Toyota Fortuner Legender ,Diesel,2.8-liter turbo diesel engine producing 201 hp,White,Equipped,Dual-zone automatic climate control with rear AC vents.," Brake Assist, Vehicle Stability Control, Hill Start Assist ",Equipped,6.2 to 7.5 miles,6-speed automatic transmission,7 persons
Gwagon,pictures/Gwagon.jpg,pictures/Gwagoninterior.jpg,155000,Mercedes-AMG G63,Petrol (Gasoline),4.0L Twin-Turbo V8 engine delivering 577 hp,Black,Equipped,Automatic climate control and rear AC vents.,"ABS, parking sensors, and electronic stability control.",Equipped,300 to 350 miles,9-speed automatic transmission,5 persons
Lamborghini,pictures/Lamborghini.jpg,pictures/Lamborghiniinterior.jpg,350000,Lamborghini Huracan Evo Spyder,Petrol (Gasoline),5.2-liter V10 engine delivering 640 hp,Rosso Mars,Equipped,Automatic dual-zone climate control. ,"Overspeed warning, Anti-theft engine immobilizer",Equipped,100 to 150 miles, automatic 7-speed dual-clutch ,2 persons
Mercedes,pictures/Mercedes.jpg,pictures/Mercedesinterior.jpg,50000,Mercedes-Benz GLE,Both Petrol and Diesel options Available,"2989 cc, 6-cylinder engine delivering 362 bhp",Black,Equipped,Automatic three-zone climate control., electronic stability control and ISOFIX child-seat mounts.,Equipped,100 to 150 miles,9-speed automatic transmission (9G-TRONIC),5 persons
Sportage,pictures/Sportage.jpg,pictures/Sportageinterior.jpg,16000,Kia Seltos,Both Petrol and Diesel options Available,1.5L petrol engine delivering 157.81 bhp,Black,Equipped,Automatic climate control.,"ABS, parking sensors, and electronic stability control.",Equipped,100 to 150 miles,"Intelligent Variable Transmission, 8-speed automatic",5 persons
BRV,pictures/BRV.jpeg,pictures/BRVinterior.jpeg,6500,2017 Honda BR-V,Petrol (Gasoline),1.5L SOHC i-VTEC engine,Off-White,Not Equipped,Equipped, dual front airbags and Vehicle Stability Assist (VSA).,Equipped,101 to 150 miles,6-speed manual and CVT automatic transmissions.,7 persons
